;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;encoded_label
static__case:RequestedAmount;1.0;-0.001;0.079;0.01;-0.001;0.041;0.045;0.045;-0.001;0.079;0.01;-0.001;0.041;0.027;0.044;-0.001;0.079;0.01;-0.001;0.041;-0.005;-0.005;0.001;0.079;0.011;0.001;0.041;-0.003;-0.006;0.001;0.079;0.011;0.001;0.041;0.102;0.104;-0.006;0.158;0.018;0.015;0.005;0.079;0.017;0.005;0.041;-0.015
index__timesincemidnight_0;-0.001;1.0;-0.028;0.009;0.998;-0.031;0.053;0.053;1.0;-0.028;0.009;0.998;-0.031;0.031;0.05;1.0;-0.028;0.009;0.998;-0.031;0.101;0.101;0.878;-0.027;0.006;0.877;-0.031;-0.037;0.099;0.878;-0.027;0.006;0.876;-0.031;-0.077;-0.12;-0.132;-0.12;-0.053;-0.015;0.834;-0.027;0.008;0.833;-0.032;0.008
index__month_0;0.079;-0.028;1.0;-0.004;-0.028;0.624;0.456;0.456;-0.028;1.0;-0.004;-0.028;0.624;-0.091;0.218;-0.028;1.0;-0.004;-0.028;0.624;-0.01;-0.01;-0.023;1.0;-0.003;-0.023;0.624;-0.014;-0.01;-0.023;1.0;-0.003;-0.024;0.624;0.055;0.037;0.025;0.047;-0.004;-0.008;-0.027;0.999;-0.002;-0.028;0.623;0.016
index__weekday_0;0.01;0.009;-0.004;1.0;0.009;-0.01;0.042;0.042;0.009;-0.004;1.0;0.009;-0.01;0.051;0.056;0.009;-0.004;1.0;0.009;-0.01;0.156;0.156;-0.019;-0.004;0.923;-0.02;-0.01;-0.022;0.155;-0.02;-0.004;0.923;-0.02;-0.01;-0.054;-0.085;-0.097;-0.083;-0.022;0.034;-0.024;-0.004;0.896;-0.024;-0.012;-0.011
index__hour_0;-0.001;0.998;-0.028;0.009;1.0;-0.031;0.053;0.053;0.998;-0.028;0.009;1.0;-0.031;0.03;0.05;0.998;-0.028;0.009;1.0;-0.031;0.101;0.101;0.876;-0.028;0.006;0.878;-0.032;-0.036;0.099;0.876;-0.028;0.006;0.877;-0.032;-0.076;-0.119;-0.131;-0.119;-0.053;-0.015;0.833;-0.028;0.007;0.834;-0.033;0.007
index__open_cases_0;0.041;-0.031;0.624;-0.01;-0.031;1.0;0.095;0.095;-0.031;0.624;-0.01;-0.031;1.0;-0.038;0.034;-0.031;0.624;-0.01;-0.031;1.0;-0.002;-0.002;-0.036;0.624;-0.01;-0.036;1.0;-0.015;-0.003;-0.036;0.624;-0.01;-0.037;1.0;0.042;0.023;0.017;0.03;0.008;0.007;-0.043;0.624;-0.008;-0.044;0.999;0.004
index__timesincelastevent_1;0.045;0.053;0.456;0.042;0.053;0.095;1.0;1.0;0.053;0.456;0.042;0.053;0.095;0.375;0.827;0.053;0.456;0.042;0.053;0.095;0.028;0.028;0.049;0.456;0.037;0.049;0.094;-0.074;0.026;0.047;0.456;0.037;0.047;0.094;-0.141;-0.219;-0.251;-0.216;-0.085;-0.072;0.041;0.456;0.032;0.041;0.094;0.028
index__timesincecasestart_1;0.045;0.053;0.456;0.042;0.053;0.095;1.0;1.0;0.053;0.456;0.042;0.053;0.095;0.375;0.827;0.053;0.456;0.042;0.053;0.095;0.028;0.028;0.049;0.456;0.037;0.049;0.094;-0.074;0.026;0.047;0.456;0.037;0.047;0.094;-0.141;-0.219;-0.251;-0.216;-0.085;-0.072;0.041;0.456;0.032;0.041;0.094;0.028
index__timesincemidnight_1;-0.001;1.0;-0.028;0.009;0.998;-0.031;0.053;0.053;1.0;-0.028;0.009;0.998;-0.031;0.031;0.05;1.0;-0.028;0.009;0.998;-0.031;0.101;0.101;0.878;-0.027;0.006;0.877;-0.031;-0.037;0.099;0.878;-0.027;0.006;0.876;-0.031;-0.077;-0.12;-0.132;-0.12;-0.053;-0.015;0.834;-0.027;0.008;0.833;-0.032;0.008
index__month_1;0.079;-0.028;1.0;-0.004;-0.028;0.624;0.456;0.456;-0.028;1.0;-0.004;-0.028;0.624;-0.091;0.218;-0.028;1.0;-0.004;-0.028;0.624;-0.01;-0.01;-0.023;1.0;-0.003;-0.023;0.624;-0.014;-0.01;-0.023;1.0;-0.003;-0.024;0.624;0.055;0.037;0.025;0.047;-0.004;-0.008;-0.027;0.999;-0.002;-0.028;0.623;0.016
index__weekday_1;0.01;0.009;-0.004;1.0;0.009;-0.01;0.042;0.042;0.009;-0.004;1.0;0.009;-0.01;0.051;0.056;0.009;-0.004;1.0;0.009;-0.01;0.156;0.156;-0.019;-0.004;0.923;-0.02;-0.01;-0.022;0.155;-0.02;-0.004;0.923;-0.02;-0.01;-0.054;-0.085;-0.097;-0.083;-0.022;0.034;-0.024;-0.004;0.896;-0.024;-0.012;-0.011
index__hour_1;-0.001;0.998;-0.028;0.009;1.0;-0.031;0.053;0.053;0.998;-0.028;0.009;1.0;-0.031;0.03;0.05;0.998;-0.028;0.009;1.0;-0.031;0.101;0.101;0.876;-0.028;0.006;0.878;-0.032;-0.036;0.099;0.876;-0.028;0.006;0.877;-0.032;-0.076;-0.119;-0.131;-0.119;-0.053;-0.015;0.833;-0.028;0.007;0.834;-0.033;0.007
index__open_cases_1;0.041;-0.031;0.624;-0.01;-0.031;1.0;0.095;0.095;-0.031;0.624;-0.01;-0.031;1.0;-0.038;0.034;-0.031;0.624;-0.01;-0.031;1.0;-0.002;-0.002;-0.036;0.624;-0.01;-0.036;1.0;-0.015;-0.003;-0.036;0.624;-0.01;-0.037;1.0;0.042;0.023;0.017;0.03;0.008;0.007;-0.043;0.624;-0.008;-0.044;0.999;0.004
index__timesincelastevent_2;0.027;0.031;-0.091;0.051;0.03;-0.038;0.375;0.375;0.031;-0.091;0.051;0.03;-0.038;1.0;0.831;0.031;-0.091;0.051;0.03;-0.038;0.043;0.043;0.021;-0.091;0.046;0.021;-0.038;-0.076;0.04;0.018;-0.091;0.046;0.018;-0.039;-0.151;-0.234;-0.268;-0.231;-0.087;-0.068;0.011;-0.091;0.04;0.012;-0.039;0.005
index__timesincecasestart_2;0.044;0.05;0.218;0.056;0.05;0.034;0.827;0.827;0.05;0.218;0.056;0.05;0.034;0.831;1.0;0.051;0.218;0.056;0.05;0.034;0.043;0.043;0.042;0.218;0.05;0.042;0.033;-0.09;0.04;0.039;0.218;0.05;0.039;0.033;-0.176;-0.273;-0.313;-0.27;-0.104;-0.084;0.032;0.218;0.043;0.032;0.032;0.02
index__timesincemidnight_2;-0.001;1.0;-0.028;0.009;0.998;-0.031;0.053;0.053;1.0;-0.028;0.009;0.998;-0.031;0.031;0.051;1.0;-0.028;0.009;0.998;-0.031;0.101;0.101;0.878;-0.027;0.006;0.877;-0.031;-0.037;0.099;0.878;-0.027;0.006;0.876;-0.031;-0.077;-0.12;-0.132;-0.12;-0.053;-0.015;0.834;-0.027;0.008;0.833;-0.032;0.008
