;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission IC;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_P;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;index__org:group_5_W;encoded_label
static__Diagnose_B;1.0;-0.159;-0.057;-0.099;-0.08;-0.087;-0.056;-0.038;-0.044;-0.055;-0.042;-0.268;-0.111;0.129;-0.025;-0.078;0.082;-0.025;-0.125;0.126;-0.025;-0.103;0.102;-0.025;-0.102;0.104;-0.025;0.033;-0.033;0.013;-0.013;-0.024;0.076;-0.025;0.034;-0.022;-0.025;0.018;-0.006;-0.025;-0.126;0.127;-0.025;0.031;-0.018;-0.025;0.014;0.005;-0.025;0.012;0.019;-0.025;-0.102;0.101;-0.025;-0.076;0.081;-0.025;0.037;-0.027;-0.025;-0.098;0.101;-0.025;0.001;0.026;-0.025;-0.069;0.078;-0.025;-0.05;0.058;-0.025;-0.1;0.099;-0.025;-0.052;0.025;-0.027;0.036;-0.007;0.036;-0.001;0.014;-0.032;0.052;-0.012;-0.056;-0.012;-0.049;0.05;-0.049;0.015;-0.045;-0.017;-0.032;0.007;-0.024;-0.051;-0.017;-0.03;-0.056;0.033;0.055;0.072;-0.028;-0.034;0.037;-0.064;-0.001;-0.01;0.102;-0.027;0.012;-0.027;-0.068;0.013;0.076;-0.012;-0.04;-0.035;0.044;-0.026;-0.021;-0.03;-0.031;0.036;0.051;-0.038;-0.031;0.052;-0.012;-0.021;0.043;-0.045;0.022;0.032;-0.025;-0.056;0.051;-0.003;0.01;-0.001;-0.017;-0.012;0.013;-0.012;-0.012;-0.021;0.02;0.017;-0.012;-0.017;-0.021;-0.038;0.008;-0.017;-0.03;-0.012;0.068;-0.021;-0.017;-0.012;-0.021;-0.03;-0.017;-0.017;-0.012;-0.017;-0.017;-0.017
static__Diagnose_C;-0.159;1.0;-0.081;-0.14;-0.114;-0.124;-0.079;-0.054;-0.062;-0.078;-0.06;-0.381;-0.0;0.037;-0.072;-0.074;0.107;-0.072;-0.087;0.117;-0.072;-0.091;0.121;-0.072;-0.112;0.14;-0.072;0.067;-0.067;0.051;-0.051;0.07;-0.018;-0.072;-0.108;0.14;-0.072;-0.09;0.122;-0.072;-0.069;0.101;-0.072;0.012;0.051;-0.072;0.027;0.032;-0.072;0.032;0.06;-0.072;-0.1;0.129;-0.072;-0.1;0.129;-0.072;0.032;0.048;-0.072;-0.069;0.101;-0.072;0.019;0.049;-0.072;0.023;0.012;-0.072;-0.104;0.133;-0.072;-0.096;0.125;-0.072;-0.073;0.072;-0.038;-0.034;-0.006;0.012;-0.009;-0.028;0.06;-0.015;-0.017;0.105;-0.017;-0.069;-0.047;-0.069;0.022;0.041;0.041;0.06;0.0;-0.034;0.056;-0.024;0.077;-0.059;0.096;-0.079;-0.024;-0.047;-0.049;0.011;-0.091;0.042;-0.034;0.001;0.092;-0.07;-0.038;-0.095;-0.013;-0.031;-0.017;-0.001;-0.008;-0.008;0.096;-0.03;0.115;-0.061;-0.034;-0.088;0.072;-0.051;-0.015;-0.017;0.052;-0.048;0.041;-0.078;0.021;0.021;-0.059;-0.065;-0.063;0.059;0.042;-0.024;-0.017;-0.045;-0.017;-0.017;-0.03;-0.023;0.095;-0.017;-0.024;-0.03;-0.025;-0.049;-0.024;-0.042;-0.017;-0.042;-0.03;0.041;-0.017;-0.03;-0.042;-0.024;-0.024;-0.017;-0.024;-0.024;-0.024
static__Diagnose_D;-0.057;-0.081;1.0;-0.05;-0.041;-0.044;-0.029;-0.02;-0.022;-0.028;-0.021;-0.137;0.091;-0.074;-0.041;0.004;0.021;-0.041;-0.0;0.022;-0.041;-0.01;0.034;-0.041;-0.005;0.028;-0.041;0.044;-0.044;0.043;-0.043;0.023;0.019;-0.041;0.075;-0.056;-0.041;0.074;-0.054;-0.041;-0.013;0.035;-0.041;0.063;-0.045;-0.041;0.062;-0.043;-0.041;0.048;-0.023;-0.041;0.016;0.012;-0.041;-0.026;0.046;-0.041;0.051;-0.028;-0.041;-0.031;0.051;-0.041;0.058;-0.038;-0.041;-0.041;0.059;-0.041;0.055;-0.025;-0.041;-0.033;0.053;-0.041;-0.026;0.041;-0.014;-0.012;-0.021;-0.012;-0.034;-0.031;-0.016;0.043;-0.006;0.019;-0.006;-0.025;0.016;-0.025;0.022;-0.008;-0.009;-0.016;-0.033;-0.012;0.061;-0.009;-0.037;-0.029;-0.032;-0.024;0.026;-0.042;-0.017;-0.029;-0.033;-0.034;-0.03;-0.025;0.07;0.007;-0.014;-0.012;-0.042;0.009;-0.006;-0.021;-0.031;-0.027;0.067;-0.011;0.05;-0.029;-0.012;-0.037;-0.015;-0.043;0.043;-0.006;0.024;-0.005;-0.008;-0.034;-0.046;0.061;-0.029;-0.023;-0.048;0.067;-0.034;-0.009;-0.006;-0.016;-0.006;-0.006;-0.011;-0.01;0.023;-0.006;-0.009;-0.011;-0.02;0.059;-0.009;-0.015;-0.006;-0.015;-0.011;-0.009;-0.006;-0.011;-0.015;-0.009;-0.009;-0.006;-0.009;-0.009;-0.009
static__Diagnose_E;-0.099;-0.14;-0.05;1.0;-0.071;-0.077;-0.049;-0.034;-0.039;-0.048;-0.037;-0.236;-0.008;0.034;-0.051;-0.099;0.116;-0.051;-0.041;0.064;-0.051;-0.103;0.118;-0.051;-0.082;0.101;-0.051;0.056;-0.056;0.055;-0.055;0.019;0.039;-0.051;0.022;0.001;-0.051;-0.002;0.025;-0.051;-0.08;0.1;-0.051;0.08;-0.058;-0.051;0.062;-0.035;-0.051;0.065;-0.04;-0.051;-0.102;0.117;-0.051;-0.066;0.087;-0.051;0.07;-0.048;-0.051;-0.049;0.072;-0.051;0.038;0.001;-0.051;-0.052;0.074;-0.051;-0.061;0.083;-0.051;-0.1;0.115;-0.051;-0.014;0.051;-0.024;-0.021;-0.037;-0.021;0.064;-0.053;-0.028;-0.014;-0.011;0.039;-0.011;-0.009;0.021;-0.009;-0.026;-0.011;-0.015;-0.028;0.074;-0.021;-0.011;-0.015;-0.017;-0.02;-0.002;-0.01;0.022;0.049;-0.03;-0.046;-0.004;0.039;0.031;0.024;0.023;-0.03;-0.024;-0.056;0.029;0.024;0.122;0.005;0.002;-0.041;0.017;-0.018;0.016;-0.022;-0.021;0.004;-0.022;0.045;-0.014;-0.011;-0.044;0.052;-0.011;0.015;-0.019;0.027;-0.02;-0.004;0.041;-0.039;0.039;-0.015;-0.011;-0.028;-0.011;-0.011;-0.018;0.029;0.009;0.122;-0.015;-0.018;0.008;-0.03;-0.015;-0.026;-0.011;-0.026;-0.018;-0.015;-0.011;-0.018;-0.026;-0.015;-0.015;-0.011;-0.015;-0.015;-0.015
static__Diagnose_G;-0.08;-0.114;-0.041;-0.071;1.0;-0.062;-0.04;-0.027;-0.031;-0.039;-0.03;-0.192;-0.056;0.025;0.066;-0.007;-0.033;0.066;0.005;-0.04;0.066;0.008;-0.048;0.066;-0.002;-0.036;0.066;-0.057;0.057;-0.058;0.058;-0.032;-0.04;0.066;-0.016;-0.014;0.066;-0.02;-0.011;0.066;0.032;-0.065;0.066;-0.21;0.215;0.066;-0.216;0.226;0.066;-0.063;0.01;0.066;-0.009;-0.033;0.066;-0.017;-0.023;0.066;-0.179;0.213;0.066;-0.01;-0.028;0.066;-0.087;0.053;0.066;-0.052;0.019;0.066;-0.025;-0.015;0.066;-0.006;-0.036;0.066;-0.037;-0.066;0.052;0.062;0.108;-0.017;-0.019;0.089;0.037;-0.044;-0.009;0.03;-0.009;-0.035;-0.028;-0.035;-0.014;0.114;-0.012;-0.023;-0.014;-0.017;0.01;-0.012;0.088;-0.04;-0.045;0.014;-0.017;-0.035;-0.024;0.041;-0.046;-0.048;0.017;-0.035;-0.012;0.031;0.194;-0.062;-0.006;-0.035;-0.009;-0.029;0.023;0.046;-0.017;-0.015;0.007;-0.041;0.062;0.003;0.095;-0.037;-0.044;-0.009;-0.024;-0.035;0.114;-0.019;0.031;-0.018;-0.04;0.01;-0.034;0.051;-0.048;-0.012;-0.009;0.037;-0.009;-0.009;-0.015;-0.025;0.014;-0.009;-0.012;-0.015;-0.027;-0.024;-0.012;0.109;-0.009;0.044;-0.015;-0.012;-0.009;-0.015;-0.021;-0.012;-0.012;-0.009;-0.012;0.1;-0.012
static__Diagnose_H;-0.087;-0.124;-0.044;-0.077;-0.062;1.0;-0.043;-0.03;-0.034;-0.042;-0.033;-0.208;-0.159;0.187;-0.04;0.011;0.014;-0.04;-0.068;0.083;-0.04;-0.005;0.029;-0.04;-0.017;0.038;-0.04;0.045;-0.045;0.044;-0.044;-0.038;0.12;-0.04;0.121;-0.102;-0.04;0.068;-0.049;-0.04;-0.059;0.075;-0.04;0.047;-0.025;-0.04;0.045;-0.022;-0.04;0.053;-0.035;-0.04;-0.022;0.043;-0.04;-0.0;0.023;-0.04;0.058;-0.042;-0.04;-0.025;0.045;-0.04;0.036;-0.009;-0.04;-0.064;0.081;-0.04;0.063;-0.034;-0.04;-0.036;0.055;-0.04;-0.04;0.04;-0.021;-0.019;0.01;-0.019;0.003;-0.016;0.031;0.021;-0.009;-0.011;-0.009;-0.038;-0.039;-0.038;0.02;-0.018;0.091;0.087;0.008;-0.019;0.032;-0.013;-0.03;-0.011;-0.019;0.022;-0.027;-0.019;-0.027;0.008;-0.049;0.003;0.021;-0.038;0.039;-0.031;-0.021;-0.045;-0.004;-0.014;-0.009;-0.031;-0.016;0.013;0.044;-0.016;-0.003;-0.044;-0.019;0.046;-0.006;-0.022;0.021;-0.009;0.011;-0.033;-0.018;0.058;-0.017;0.008;-0.011;0.044;-0.016;0.026;0.003;-0.013;-0.009;-0.025;-0.009;-0.009;-0.016;-0.025;0.059;-0.009;-0.013;-0.016;0.017;-0.027;-0.013;-0.023;-0.009;-0.023;-0.016;-0.013;-0.009;-0.016;-0.023;-0.013;-0.013;-0.009;-0.013;-0.013;-0.013
static__Diagnose_K;-0.056;-0.079;-0.029;-0.049;-0.04;-0.043;1.0;-0.019;-0.022;-0.027;-0.021;-0.134;0.053;-0.053;-0.006;-0.064;0.059;-0.006;0.004;-0.0;-0.006;-0.058;0.053;-0.006;-0.024;0.024;-0.006;0.01;-0.01;0.009;-0.009;0.021;-0.028;-0.006;-0.075;0.078;-0.006;-0.03;0.032;-0.006;0.011;-0.007;-0.006;0.013;-0.012;-0.006;0.036;-0.042;-0.006;0.017;-0.023;-0.006;-0.058;0.052;-0.006;-0.046;0.043;-0.006;-0.008;0.023;-0.006;-0.007;0.009;-0.006;0.031;-0.037;-0.006;-0.036;0.038;-0.006;-0.072;0.067;-0.006;-0.057;0.051;-0.006;0.027;0.006;-0.013;-0.012;-0.021;-0.012;0.09;-0.03;-0.016;-0.031;-0.006;-0.028;-0.006;0.032;-0.032;0.032;-0.001;-0.041;-0.008;-0.016;0.055;0.099;-0.009;-0.008;-0.036;0.07;-0.031;0.02;-0.026;0.026;-0.017;-0.027;0.055;0.049;0.025;-0.024;0.016;-0.053;-0.013;-0.01;0.007;0.012;-0.006;0.047;-0.03;-0.024;0.012;-0.01;-0.069;0.019;-0.012;0.078;-0.045;0.091;-0.031;-0.006;-0.017;0.02;-0.041;0.049;-0.042;-0.012;0.07;0.097;-0.023;-0.054;0.049;-0.008;-0.006;0.236;-0.006;-0.006;-0.01;-0.007;0.0;-0.006;-0.008;-0.01;-0.019;-0.017;-0.008;-0.015;-0.006;0.076;-0.01;0.148;-0.006;-0.01;-0.015;-0.008;-0.008;-0.006;-0.008;-0.008;-0.008
static__Diagnose_N;-0.038;-0.054;-0.02;-0.034;-0.027;-0.03;-0.019;1.0;-0.015;-0.019;-0.014;-0.092;-0.062;0.029;0.072;-0.01;-0.034;0.072;0.005;-0.044;0.072;-0.003;-0.042;0.072;-0.015;-0.028;0.072;-0.065;0.065;-0.067;0.067;-0.049;-0.019;0.072;-0.014;-0.019;0.072;-0.005;-0.028;0.072;-0.02;-0.022;0.072;-0.028;-0.03;0.072;-0.03;-0.029;0.072;-0.055;-0.016;0.072;-0.003;-0.043;0.072;-0.014;-0.029;0.072;-0.05;-0.019;0.072;-0.018;-0.024;0.072;-0.036;-0.026;0.072;-0.034;-0.001;0.072;0.014;-0.053;0.072;-0.001;-0.044;0.072;-0.018;-0.072;0.134;-0.008;0.078;-0.008;0.036;0.112;-0.011;-0.058;-0.004;-0.019;-0.004;-0.017;-0.003;-0.017;-0.044;0.071;-0.006;-0.011;0.041;-0.008;-0.012;-0.006;0.031;-0.019;-0.021;0.003;0.003;0.02;-0.012;-0.017;-0.022;0.036;0.039;-0.017;0.005;-0.02;-0.009;-0.029;0.025;0.029;-0.004;-0.014;-0.02;-0.015;0.003;-0.007;0.033;-0.02;-0.008;-0.025;0.061;0.019;-0.058;-0.004;-0.042;0.017;0.071;-0.023;0.012;-0.0;-0.019;-0.016;0.018;-0.027;0.036;-0.006;-0.004;-0.011;-0.004;-0.004;-0.007;0.013;0.01;-0.004;-0.006;-0.007;-0.013;-0.012;-0.006;-0.01;-0.004;-0.01;-0.007;-0.006;-0.004;-0.007;-0.01;-0.006;-0.006;-0.004;-0.006;-0.006;-0.006
static__Diagnose_Q;-0.044;-0.062;-0.022;-0.039;-0.031;-0.034;-0.022;-0.015;1.0;-0.021;-0.016;-0.105;-0.012;-0.016;0.056;0.07;-0.093;0.056;0.043;-0.069;0.056;0.084;-0.105;0.056;0.06;-0.085;0.056;-0.05;0.05;-0.051;0.051;-0.034;-0.022;0.056;0.02;-0.046;0.056;0.031;-0.056;0.056;0.077;-0.1;0.056;-0.014;-0.034;0.056;-0.015;-0.033;0.056;-0.04;-0.018;0.056;0.052;-0.079;0.056;0.09;-0.111;0.056;-0.035;-0.021;0.056;0.054;-0.079;0.056;-0.055;0.018;0.056;0.033;-0.058;0.056;0.054;-0.08;0.056;0.055;-0.081;0.056;0.047;-0.056;-0.011;0.131;-0.016;-0.009;-0.026;0.035;-0.012;-0.01;-0.005;-0.022;0.275;-0.019;0.02;-0.019;0.002;-0.032;-0.007;-0.012;-0.025;0.131;-0.084;0.191;-0.028;-0.022;0.087;0.064;-0.042;0.053;0.086;0.056;-0.025;0.026;0.024;0.052;-0.084;-0.004;-0.011;0.05;0.04;0.045;-0.005;-0.016;-0.023;0.06;-0.107;-0.008;-0.036;0.038;0.131;-0.028;0.005;0.009;-0.01;-0.005;0.004;0.031;-0.032;-0.026;0.109;-0.09;-0.022;-0.018;0.032;-0.059;0.026;0.191;-0.005;-0.012;-0.005;-0.005;-0.008;0.026;-0.045;-0.005;0.389;-0.008;-0.015;-0.013;-0.007;-0.012;-0.005;-0.012;-0.008;-0.007;-0.005;-0.008;-0.012;-0.007;-0.007;-0.005;-0.007;-0.007;-0.007
static__Diagnose_R;-0.055;-0.078;-0.028;-0.048;-0.039;-0.042;-0.027;-0.019;-0.021;1.0;-0.02;-0.13;0.049;-0.031;-0.04;-0.038;0.057;-0.04;0.008;0.014;-0.04;-0.031;0.05;-0.04;-0.021;0.041;-0.04;0.042;-0.042;0.007;-0.007;0.049;-0.027;-0.04;-0.069;0.087;-0.04;-0.057;0.074;-0.04;-0.007;0.028;-0.04;0.06;-0.043;-0.04;0.034;-0.007;-0.04;0.046;-0.022;-0.04;-0.056;0.072;-0.04;-0.043;0.061;-0.04;0.048;-0.027;-0.04;0.041;-0.015;-0.04;0.029;0.002;-0.04;-0.014;0.032;-0.04;-0.025;0.045;-0.04;-0.055;0.071;-0.04;-0.025;0.04;-0.013;-0.012;-0.02;-0.012;-0.033;-0.029;-0.016;0.063;-0.006;-0.027;-0.006;-0.024;0.049;-0.024;0.014;-0.04;-0.008;-0.016;-0.031;-0.012;-0.049;-0.008;-0.035;-0.027;-0.03;0.086;0.061;-0.04;-0.017;0.044;-0.031;-0.033;0.028;-0.024;-0.058;0.058;-0.013;-0.008;0.011;0.016;-0.006;0.049;0.018;0.048;-0.061;-0.01;-0.013;-0.028;-0.012;0.043;-0.044;-0.041;0.063;-0.006;-0.022;0.024;-0.04;0.052;0.036;-0.036;-0.027;0.039;0.002;0.022;-0.033;-0.008;-0.006;-0.016;-0.006;-0.006;-0.01;0.041;-0.023;-0.006;-0.008;-0.01;-0.019;-0.017;-0.008;-0.014;-0.006;-0.014;0.121;-0.008;-0.006;-0.01;-0.014;-0.008;-0.008;-0.006;-0.008;-0.008;-0.008
