;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
static__Age;1.0;-0.1;-0.075;-0.05;0.012;0.035;-0.048;-0.052;-0.055;0.06;-0.039;0.018;-0.104;-0.07;0.013;0.035;-0.069;-0.091;-0.093;-0.014;-0.055;0.06;-0.026;0.005;-0.024;-0.092;0.013;0.035;-0.093;-0.09;-0.125;0.043;-0.056;0.06;-0.084;0.006;-0.008;-0.097;0.013;0.035;-0.098;0.003;-0.125;-0.051;-0.056;0.06;-0.059;0.008;-0.028;-0.101;0.013;0.035;-0.103;0.044;-0.107;-0.021;-0.056;0.06;-0.052;0.039;0.026;-0.091;0.014;0.035;-0.091;0.057;0.018;0.04;-0.057;0.06;0.018
index__CRP_0;-0.1;1.0;0.566;-0.07;0.046;-0.007;-0.07;0.685;-0.004;-0.049;0.236;0.036;0.416;-0.053;0.046;-0.007;-0.053;0.103;0.101;-0.335;-0.005;-0.049;0.371;-0.012;0.226;0.027;0.046;-0.007;0.028;0.516;0.466;-0.032;-0.005;-0.049;0.183;-0.061;0.043;0.028;0.046;-0.007;0.03;0.081;0.461;-0.072;-0.005;-0.049;0.185;-0.104;0.033;0.029;0.046;-0.007;0.03;-0.032;0.425;0.004;-0.005;-0.049;0.213;-0.028;0.007;0.047;0.045;-0.007;0.042;0.004;0.147;0.134;-0.004;-0.049;-0.006
index__Leucocytes_0;-0.075;0.566;1.0;-0.089;0.048;0.027;-0.089;0.85;0.039;-0.035;-0.021;-0.016;0.649;-0.042;0.048;0.027;-0.04;0.349;0.348;-0.413;0.039;-0.035;0.192;-0.035;0.338;0.061;0.048;0.027;0.062;0.646;0.727;-0.035;0.037;-0.035;0.057;-0.078;0.081;0.061;0.048;0.027;0.063;0.076;0.713;-0.08;0.037;-0.035;0.1;-0.123;0.082;0.064;0.048;0.027;0.064;-0.036;0.664;0.001;0.037;-0.035;0.125;-0.087;0.016;0.079;0.048;0.027;0.075;0.0;0.224;0.094;0.037;-0.035;-0.007
index__hour_0;-0.05;-0.07;-0.089;1.0;-0.008;-0.096;0.999;-0.063;-0.057;-0.001;-0.041;-0.068;-0.118;0.945;-0.007;-0.096;0.943;-0.07;-0.072;-0.016;-0.057;-0.001;-0.068;-0.027;-0.037;0.91;-0.007;-0.096;0.908;-0.074;-0.108;0.023;-0.057;-0.001;0.011;-0.006;-0.076;0.895;-0.006;-0.096;0.895;-0.043;-0.104;0.018;-0.057;-0.001;-0.026;-0.04;-0.099;0.882;-0.006;-0.096;0.882;0.001;-0.098;-0.039;-0.057;-0.001;0.01;-0.05;-0.041;0.826;-0.005;-0.096;0.827;-0.032;-0.062;0.001;-0.057;-0.001;-0.091
index__day_0;0.012;0.046;0.048;-0.008;1.0;0.024;-0.007;0.041;-0.019;0.025;0.031;0.029;0.022;-0.013;1.0;0.024;-0.013;0.006;0.003;-0.03;-0.019;0.025;0.09;0.028;0.043;0.0;1.0;0.024;0.001;0.025;0.021;0.017;-0.019;0.025;0.024;-0.006;-0.055;0.007;1.0;0.024;0.008;-0.009;0.024;-0.037;-0.019;0.025;0.083;-0.032;-0.002;0.007;1.0;0.024;0.005;0.028;0.032;0.014;-0.019;0.025;0.071;0.003;-0.017;-0.005;1.0;0.024;-0.008;-0.026;-0.012;0.016;-0.019;0.025;0.047
index__month_0;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_0;-0.048;-0.07;-0.089;0.999;-0.007;-0.095;1.0;-0.063;-0.058;-0.001;-0.039;-0.069;-0.119;0.944;-0.006;-0.095;0.943;-0.071;-0.073;-0.018;-0.059;-0.001;-0.065;-0.027;-0.035;0.909;-0.005;-0.095;0.907;-0.073;-0.108;0.023;-0.059;-0.001;0.014;-0.004;-0.075;0.895;-0.005;-0.095;0.894;-0.041;-0.103;0.022;-0.059;-0.001;-0.025;-0.037;-0.099;0.882;-0.005;-0.095;0.882;0.004;-0.096;-0.04;-0.059;-0.001;0.01;-0.048;-0.042;0.827;-0.004;-0.095;0.828;-0.031;-0.06;-0.001;-0.058;-0.001;-0.09
index__OrderOfEvent_0;-0.052;0.685;0.85;-0.063;0.041;0.038;-0.063;1.0;0.03;-0.051;-0.019;-0.015;0.551;-0.065;0.041;0.038;-0.065;-0.038;-0.039;-0.481;0.03;-0.051;0.243;-0.032;0.286;0.058;0.041;0.038;0.056;0.772;0.573;-0.032;0.028;-0.052;0.098;-0.071;0.065;0.059;0.041;0.038;0.059;0.092;0.568;-0.072;0.028;-0.052;0.1;-0.112;0.064;0.059;0.041;0.038;0.059;-0.033;0.524;0.004;0.028;-0.052;0.119;-0.083;0.007;0.071;0.04;0.038;0.069;0.002;0.178;0.096;0.028;-0.052;-0.006
index__openCases_0;-0.055;-0.004;0.039;-0.057;-0.019;0.213;-0.058;0.03;1.0;-0.125;0.021;0.056;0.081;-0.046;-0.02;0.213;-0.045;0.02;0.021;0.035;1.0;-0.125;-0.044;0.022;0.095;-0.023;-0.02;0.213;-0.023;0.069;0.063;0.03;1.0;-0.125;-0.03;-0.022;-0.066;-0.017;-0.02;0.213;-0.017;0.008;0.063;-0.014;1.0;-0.125;-0.005;0.002;0.067;-0.006;-0.02;0.213;-0.006;0.017;0.063;0.041;1.0;-0.125;-0.052;-0.034;-0.075;-0.023;-0.019;0.213;-0.023;0.046;0.063;-0.052;1.0;-0.125;0.044
index__remainingtime_0;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.051;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.125;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.06;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.026;-0.002;-0.042;-0.044;-0.044;0.03;-0.125;1.0;-0.066;0.039;0.041;-0.042;0.025;-0.002;-0.042;-0.024;-0.052;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.027;-0.04;-0.036;-0.125;1.0;-0.021
