;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;encoded_label
static__Diagnose_B;1.0;-0.159;-0.057;-0.099;-0.08;-0.087;-0.056;-0.038;-0.044;-0.054;-0.042;-0.268;-0.112;0.13;-0.025;-0.079;0.083;-0.025;-0.126;0.127;-0.025;-0.104;0.103;-0.025;-0.103;0.105;-0.025;0.032;-0.032;0.013;-0.013;-0.024;0.076;-0.025;0.033;-0.021;-0.025;0.017;-0.005;-0.025;-0.127;0.128;-0.025;0.031;-0.018;-0.025;0.014;0.005;-0.025;0.012;0.019;-0.025;-0.104;0.102;-0.025;-0.077;0.082;-0.025;0.037;-0.027;-0.025;-0.099;0.102;-0.025;0.001;0.026;-0.025;-0.07;0.079;-0.025;-0.051;0.059;-0.025;-0.101;0.1;-0.025;-0.052;0.025;-0.027;0.036;-0.007;0.036;-0.028;-0.031;0.036;0.049;0.031
static__Diagnose_C;-0.159;1.0;-0.081;-0.14;-0.114;-0.123;-0.079;-0.054;-0.062;-0.077;-0.06;-0.381;-0.001;0.037;-0.072;-0.077;0.108;-0.072;-0.089;0.119;-0.072;-0.094;0.123;-0.072;-0.114;0.141;-0.072;0.067;-0.067;0.051;-0.051;0.07;-0.018;-0.072;-0.109;0.141;-0.072;-0.092;0.123;-0.072;-0.071;0.103;-0.072;0.012;0.051;-0.072;0.027;0.033;-0.072;0.032;0.06;-0.072;-0.103;0.131;-0.072;-0.102;0.131;-0.072;0.032;0.049;-0.072;-0.071;0.103;-0.072;0.019;0.05;-0.072;0.021;0.013;-0.072;-0.106;0.134;-0.072;-0.099;0.127;-0.072;-0.073;0.072;-0.038;-0.034;-0.006;0.012;0.116;-0.061;-0.034;-0.089;-0.12
static__Diagnose_D;-0.057;-0.081;1.0;-0.05;-0.041;-0.044;-0.028;-0.02;-0.022;-0.028;-0.021;-0.137;0.09;-0.074;-0.041;0.002;0.022;-0.041;-0.001;0.023;-0.041;-0.011;0.035;-0.041;-0.006;0.029;-0.041;0.044;-0.044;0.043;-0.043;0.023;0.019;-0.041;0.075;-0.056;-0.041;0.073;-0.054;-0.041;-0.014;0.036;-0.041;0.063;-0.045;-0.041;0.062;-0.043;-0.041;0.048;-0.023;-0.041;0.015;0.013;-0.041;-0.026;0.047;-0.041;0.051;-0.028;-0.041;-0.032;0.052;-0.041;0.058;-0.038;-0.041;-0.042;0.06;-0.041;0.053;-0.024;-0.041;-0.033;0.054;-0.041;-0.026;0.041;-0.014;-0.012;-0.021;-0.012;0.05;-0.029;-0.012;-0.038;-0.045
static__Diagnose_E;-0.099;-0.14;-0.05;1.0;-0.07;-0.077;-0.049;-0.034;-0.038;-0.048;-0.037;-0.236;-0.008;0.034;-0.051;-0.101;0.117;-0.051;-0.042;0.065;-0.051;-0.104;0.119;-0.051;-0.083;0.102;-0.051;0.056;-0.056;0.055;-0.055;0.019;0.039;-0.051;0.021;0.002;-0.051;-0.003;0.026;-0.051;-0.081;0.101;-0.051;0.079;-0.058;-0.051;0.062;-0.035;-0.051;0.065;-0.04;-0.051;-0.103;0.118;-0.051;-0.068;0.089;-0.051;0.07;-0.048;-0.051;-0.051;0.073;-0.051;0.037;0.001;-0.051;-0.053;0.075;-0.051;-0.063;0.084;-0.051;-0.101;0.116;-0.051;-0.014;0.051;-0.024;-0.021;-0.037;-0.021;0.017;-0.022;-0.021;0.003;-0.089
static__Diagnose_G;-0.08;-0.114;-0.041;-0.07;1.0;-0.062;-0.04;-0.027;-0.031;-0.039;-0.03;-0.192;-0.056;0.025;0.067;-0.009;-0.031;0.067;0.004;-0.039;0.067;0.006;-0.046;0.067;-0.004;-0.035;0.067;-0.057;0.057;-0.059;0.059;-0.032;-0.04;0.067;-0.017;-0.014;0.067;-0.021;-0.01;0.067;0.03;-0.063;0.067;-0.21;0.216;0.067;-0.216;0.226;0.067;-0.064;0.01;0.067;-0.011;-0.032;0.067;-0.018;-0.022;0.067;-0.179;0.213;0.067;-0.011;-0.027;0.067;-0.087;0.053;0.067;-0.053;0.02;0.067;-0.026;-0.014;0.067;-0.008;-0.035;0.067;-0.037;-0.067;0.052;0.062;0.108;-0.017;0.007;-0.041;0.062;0.001;0.605
static__Diagnose_H;-0.087;-0.123;-0.044;-0.077;-0.062;1.0;-0.043;-0.03;-0.034;-0.042;-0.033;-0.208;-0.159;0.187;-0.04;0.009;0.016;-0.04;-0.069;0.084;-0.04;-0.007;0.031;-0.04;-0.019;0.039;-0.04;0.045;-0.045;0.044;-0.044;-0.038;0.12;-0.04;0.12;-0.101;-0.04;0.067;-0.048;-0.04;-0.06;0.075;-0.04;0.047;-0.025;-0.04;0.044;-0.021;-0.04;0.053;-0.035;-0.04;-0.023;0.044;-0.04;-0.002;0.024;-0.04;0.058;-0.042;-0.04;-0.026;0.046;-0.04;0.036;-0.008;-0.04;-0.065;0.081;-0.04;0.061;-0.033;-0.04;-0.038;0.056;-0.04;-0.04;0.04;-0.021;-0.019;0.01;-0.019;-0.002;-0.044;-0.019;0.043;0.006
static__Diagnose_K;-0.056;-0.079;-0.028;-0.049;-0.04;-0.043;1.0;-0.019;-0.022;-0.027;-0.021;-0.134;0.053;-0.053;-0.006;-0.065;0.06;-0.006;0.003;0.001;-0.006;-0.059;0.053;-0.006;-0.025;0.025;-0.006;0.01;-0.01;0.009;-0.009;0.021;-0.028;-0.006;-0.076;0.078;-0.006;-0.031;0.033;-0.006;0.01;-0.006;-0.006;0.013;-0.011;-0.006;0.036;-0.042;-0.006;0.017;-0.023;-0.006;-0.058;0.053;-0.006;-0.046;0.044;-0.006;-0.009;0.023;-0.006;-0.008;0.01;-0.006;0.03;-0.037;-0.006;-0.037;0.038;-0.006;-0.072;0.068;-0.006;-0.057;0.051;-0.006;0.027;0.006;-0.013;-0.012;-0.021;-0.012;-0.068;0.019;-0.012;0.076;-0.066
static__Diagnose_N;-0.038;-0.054;-0.02;-0.034;-0.027;-0.03;-0.019;1.0;-0.015;-0.019;-0.014;-0.092;-0.062;0.029;0.072;-0.011;-0.033;0.072;0.005;-0.043;0.072;-0.004;-0.041;0.072;-0.015;-0.027;0.072;-0.066;0.066;-0.067;0.067;-0.049;-0.019;0.072;-0.015;-0.018;0.072;-0.006;-0.028;0.072;-0.021;-0.021;0.072;-0.028;-0.03;0.072;-0.03;-0.029;0.072;-0.055;-0.015;0.072;-0.003;-0.042;0.072;-0.015;-0.028;0.072;-0.05;-0.019;0.072;-0.019;-0.024;0.072;-0.036;-0.026;0.072;-0.034;-0.0;0.072;0.013;-0.052;0.072;-0.002;-0.043;0.072;-0.018;-0.072;0.134;-0.008;0.078;-0.008;0.034;-0.02;-0.008;-0.025;-0.045
static__Diagnose_Q;-0.044;-0.062;-0.022;-0.038;-0.031;-0.034;-0.022;-0.015;1.0;-0.021;-0.016;-0.105;-0.012;-0.016;0.056;0.068;-0.092;0.056;0.042;-0.068;0.056;0.082;-0.104;0.056;0.059;-0.084;0.056;-0.05;0.05;-0.051;0.051;-0.034;-0.022;0.056;0.02;-0.045;0.056;0.03;-0.056;0.056;0.076;-0.099;0.056;-0.014;-0.034;0.056;-0.015;-0.033;0.056;-0.04;-0.018;0.056;0.051;-0.077;0.056;0.088;-0.11;0.056;-0.035;-0.021;0.056;0.053;-0.078;0.056;-0.055;0.018;0.056;0.033;-0.058;0.056;0.053;-0.079;0.056;0.053;-0.079;0.056;0.047;-0.056;-0.011;0.131;-0.016;-0.009;-0.036;0.038;0.131;-0.029;-0.052
static__Diagnose_R;-0.054;-0.077;-0.028;-0.048;-0.039;-0.042;-0.027;-0.019;-0.021;1.0;-0.02;-0.131;0.049;-0.031;-0.039;-0.039;0.057;-0.039;0.007;0.015;-0.039;-0.032;0.051;-0.039;-0.022;0.042;-0.039;0.042;-0.042;0.007;-0.007;0.049;-0.027;-0.039;-0.07;0.088;-0.039;-0.057;0.075;-0.039;-0.008;0.029;-0.039;0.06;-0.043;-0.039;0.034;-0.007;-0.039;0.046;-0.022;-0.039;-0.057;0.072;-0.039;-0.044;0.061;-0.039;0.048;-0.026;-0.039;0.04;-0.014;-0.039;0.028;0.002;-0.039;-0.015;0.033;-0.039;-0.026;0.045;-0.039;-0.056;0.071;-0.039;-0.025;0.039;-0.013;-0.012;-0.02;-0.012;-0.012;-0.028;-0.012;0.041;-0.064
