;static__article_102.0;static__article_115.0;static__article_116.0;static__article_122.0;static__article_125.0;static__article_126.0;static__article_136.0;static__article_141.0;static__article_142.0;static__article_143.0;static__article_145.0;static__article_146.0;static__article_148.0;static__article_149.0;static__article_15.0;static__article_152.0;static__article_154.0;static__article_155.0;static__article_156.0;static__article_157.0;static__article_158.0;static__article_167.0;static__article_169.0;static__article_170.0;static__article_171.0;static__article_172.0;static__article_173.0;static__article_180.0;static__article_181.0;static__article_188.0;static__article_189.0;static__article_190.0;static__article_191.0;static__article_192.0;static__article_193.0;static__article_20.0;static__article_21.0;static__article_213.0;static__article_23.0;static__article_40.0;static__article_41.0;static__article_43.0;static__article_7.0;static__article_72.0;static__article_80.0;static__article_94.0;static__article_97.0;static__article_other;static__vehicleClass_A;static__vehicleClass_C;static__vehicleClass_M;static__vehicleClass_R;index__org:resource_0_10.0;index__org:resource_0_11.0;index__org:resource_0_12.0;index__org:resource_0_14.0;index__org:resource_0_15.0;index__org:resource_0_16.0;index__org:resource_0_17.0;index__org:resource_0_18.0;index__org:resource_0_19.0;index__org:resource_0_20.0;index__org:resource_0_21.0;index__org:resource_0_22.0;index__org:resource_0_23.0;index__org:resource_0_24.0;index__org:resource_0_25.0;index__org:resource_0_26.0;index__org:resource_0_27.0;index__org:resource_0_28.0;index__org:resource_0_29.0;index__org:resource_0_3.0;index__org:resource_0_30.0;index__org:resource_0_31.0;index__org:resource_0_32.0;index__org:resource_0_33.0;index__org:resource_0_34.0;index__org:resource_0_35.0;index__org:resource_0_36.0;index__org:resource_0_37.0;index__org:resource_0_38.0;index__org:resource_0_39.0;index__org:resource_0_4.0;index__org:resource_0_40.0;index__org:resource_0_41.0;index__org:resource_0_42.0;index__org:resource_0_43.0;index__org:resource_0_44.0;index__org:resource_0_45.0;index__org:resource_0_46.0;index__org:resource_0_47.0;index__org:resource_0_48.0;index__org:resource_0_49.0;index__org:resource_0_50.0;index__org:resource_0_51.0;index__org:resource_0_52.0;index__org:resource_0_53.0;index__org:resource_0_536.0;index__org:resource_0_537.0;index__org:resource_0_538.0;index__org:resource_0_54.0;index__org:resource_0_540.0;index__org:resource_0_541.0;index__org:resource_0_546.0;index__org:resource_0_548.0;index__org:resource_0_55.0;index__org:resource_0_550.0;index__org:resource_0_551.0;index__org:resource_0_552.0;index__org:resource_0_553.0;index__org:resource_0_554.0;index__org:resource_0_555.0;index__org:resource_0_556.0;index__org:resource_0_557.0;index__org:resource_0_558.0;index__org:resource_0_559.0;index__org:resource_0_56.0;index__org:resource_0_560.0;index__org:resource_0_561.0;index__org:resource_0_562.0;index__org:resource_0_563.0;index__org:resource_0_564.0;index__org:resource_0_565.0;index__org:resource_0_566.0;index__org:resource_0_567.0;index__org:resource_0_568.0;index__org:resource_0_57.0;index__org:resource_0_58.0;index__org:resource_0_59.0;index__org:resource_0_60.0;index__org:resource_0_704.0;index__org:resource_0_8.0;index__org:resource_0_802.0;index__org:resource_0_807.0;index__org:resource_0_808.0;index__org:resource_0_810.0;index__org:resource_0_811.0;index__org:resource_0_813.0;index__org:resource_0_816.0;index__org:resource_0_817.0;index__org:resource_0_818.0;index__org:resource_0_819.0;index__org:resource_0_820.0;index__org:resource_0_821.0;index__org:resource_0_823.0;index__org:resource_0_824.0;index__org:resource_0_825.0;index__org:resource_0_826.0;index__org:resource_0_827.0;index__org:resource_0_828.0;index__org:resource_0_829.0;index__org:resource_0_830.0;index__org:resource_0_831.0;index__org:resource_0_832.0;index__org:resource_0_833.0;index__org:resource_0_834.0;index__org:resource_0_835.0;index__org:resource_0_836.0;index__org:resource_0_837.0;index__org:resource_0_838.0;index__org:resource_0_839.0;index__org:resource_0_840.0;index__org:resource_0_841.0;index__org:resource_0_842.0;index__org:resource_0_843.0;index__org:resource_0_844.0;index__org:resource_0_845.0;index__org:resource_0_846.0;index__org:resource_0_847.0;index__org:resource_0_848.0;index__org:resource_0_849.0;index__org:resource_0_850.0;index__org:resource_0_851.0;index__org:resource_0_852.0;index__org:resource_0_853.0;index__org:resource_0_854.0;index__org:resource_0_855.0;index__org:resource_0_856.0;index__org:resource_0_857.0;index__org:resource_0_9.0;index__org:resource_0_other;index__dismissal_0_4;index__dismissal_0_@;index__dismissal_0_C;index__dismissal_0_D;index__dismissal_0_NIL;index__dismissal_0_other;encoded_label
static__article_102.0;1.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.005;-0.003;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.004;-0.0;-0.0;-0.0;-0.0;-0.0;-0.017;0.021;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;0.024;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;0.007;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;0.018;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.003
static__article_115.0;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.002;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.008;-0.004;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.005;-0.0;-0.001;-0.0;-0.0;-0.0;-0.028;0.035;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.001;0.026;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;0.005;-0.001;-0.001;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;0.009;-0.001;0.041;-0.001;0.006;-0.002;-0.002;-0.002;-0.0;-0.001;-0.002;-0.001;-0.001;-0.0;-0.002;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.002;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.004
static__article_116.0;-0.0;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.004;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.017;-0.009;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.002;-0.002;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.012;-0.0;-0.001;-0.0;-0.0;-0.0;-0.111;0.126;0.012;-0.0;-0.001;-0.002;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;0.004;-0.003;-0.0;0.011;0.002;-0.001;-0.001;-0.001;-0.001;0.004;0.004;-0.001;-0.002;-0.0;0.023;-0.001;-0.001;-0.001;-0.001;-0.002;0.034;-0.001;-0.001;0.011;-0.002;-0.0;0.024;0.003;-0.003;-0.004;-0.005;-0.001;-0.001;-0.004;-0.002;-0.002;-0.001;-0.004;-0.0;-0.002;-0.001;-0.001;-0.002;-0.002;-0.004;-0.003;-0.004;-0.002;-0.002;-0.003;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;0.007;0.005;0.025;-0.001;-0.001;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;-0.001;0.003;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;0.004;-0.002;-0.002;-0.002;-0.0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.012
static__article_122.0;-0.0;-0.0;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.005;-0.003;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.004;-0.0;-0.0;-0.0;-0.0;-0.0;-0.017;-0.001;0.03;-0.0;-0.0;0.01;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;0.023;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;0.009;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;0.015;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.003
static__article_125.0;-0.0;-0.0;-0.0;-0.0;1.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.007;-0.003;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.005;-0.0;-0.0;-0.0;-0.0;-0.0;-0.039;-0.001;0.069;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.001;0.009;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;0.006;-0.001;-0.001;0.021;-0.001;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.001;-0.002;-0.002;-0.0;-0.0;-0.002;-0.001;-0.001;-0.0;-0.002;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.0;-0.0;0.022;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.001;-0.001;-0.0;0.012;-0.0;0.017;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.006
static__article_126.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;-0.0;-0.0;-0.003;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.015;-0.008;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.01;-0.0;-0.001;-0.0;-0.0;-0.0;-0.003;-0.002;0.009;-0.0;-0.001;0.001;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.001;0.003;-0.001;0.002;-0.002;-0.0;0.01;0.007;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;0.014;0.012;0.005;0.018;-0.001;-0.002;0.019;-0.001;-0.001;0.003;-0.002;0.02;0.013;-0.002;-0.003;-0.004;-0.004;-0.001;-0.001;-0.004;-0.002;-0.002;-0.001;-0.004;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.003;-0.003;-0.003;-0.001;-0.002;-0.003;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;0.004;-0.001;0.009;-0.001;0.005;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.007;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.011;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.0;-0.001;0.007;-0.001;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.003
static__article_136.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;-0.0;-0.002;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.007;-0.004;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.005;-0.0;-0.001;-0.0;-0.0;-0.0;0.001;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;0.006;-0.0;0.007;-0.001;-0.0;-0.0;-0.0;-0.001;0.012;0.025;-0.0;-0.001;-0.0;-0.001;-0.001;0.012;-0.0;-0.001;-0.001;0.014;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.001;-0.001;-0.002;-0.002;-0.0;-0.001;-0.002;-0.001;-0.001;-0.0;-0.002;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;0.011;-0.001;-0.0;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.0;-0.001;-0.0;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;-0.001
static__article_141.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;-0.005;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.022;-0.011;-0.0;-0.0;-0.001;-0.002;-0.001;-0.001;-0.002;-0.002;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.015;-0.0;-0.002;-0.0;-0.0;-0.0;-0.023;0.014;0.019;-0.0;-0.001;0.002;-0.001;-0.0;-0.001;-0.001;-0.0;0.018;-0.0;-0.001;0.004;-0.001;-0.001;-0.001;0.027;0.001;-0.001;-0.003;0.004;-0.0;-0.003;-0.003;-0.001;0.007;0.009;0.012;-0.002;-0.002;-0.001;0.002;-0.0;-0.004;-0.002;0.011;0.005;-0.002;0.001;0.008;-0.001;0.008;0.02;0.007;-0.001;-0.002;-0.003;-0.004;-0.005;-0.006;-0.001;-0.002;-0.005;-0.003;-0.003;-0.001;-0.006;-0.001;-0.002;-0.001;-0.001;-0.002;-0.002;-0.005;-0.004;-0.005;-0.002;-0.002;-0.004;-0.002;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;0.008;-0.002;0.006;-0.001;0.007;-0.0;-0.002;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;0.017;-0.001;0.012;0.003;-0.002;-0.002;-0.002;-0.001;-0.002;-0.002;-0.002;-0.001;0.006;0.005;0.02;-0.001;-0.001;-0.001;-0.001;0.016;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.002;-0.002;-0.002;-0.002;0.017;-0.002;0.001;-0.001;-0.002;-0.001;-0.001;-0.002;-0.002;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.008
static__article_142.0;-0.001;-0.002;-0.004;-0.001;-0.001;-0.003;-0.002;-0.005;1.0;-0.004;-0.006;-0.01;-0.003;-0.003;-0.001;-0.001;-0.003;-0.002;-0.001;-0.184;-0.096;-0.001;-0.002;-0.005;-0.014;-0.012;-0.005;-0.018;-0.017;-0.003;-0.002;-0.001;-0.006;-0.001;-0.009;-0.008;-0.002;-0.001;-0.007;-0.001;-0.008;-0.01;-0.129;-0.002;-0.014;-0.003;-0.004;-0.002;-0.056;-0.021;0.126;-0.001;-0.008;0.129;0.016;-0.001;-0.007;0.031;-0.004;-0.004;-0.001;-0.004;-0.012;0.039;-0.006;-0.009;0.194;0.003;0.041;0.068;0.415;-0.002;0.173;0.041;0.082;-0.008;0.035;0.11;0.152;0.024;-0.004;-0.007;-0.001;-0.027;-0.014;-0.015;-0.01;-0.013;-0.007;-0.014;-0.012;-0.013;-0.034;-0.014;-0.003;0.001;-0.023;-0.037;-0.045;-0.05;-0.009;-0.013;-0.046;-0.022;-0.023;0.001;-0.048;-0.005;-0.017;-0.007;-0.009;-0.017;-0.017;-0.039;-0.032;-0.042;-0.009;-0.021;-0.033;-0.017;-0.019;-0.017;-0.015;-0.012;-0.008;-0.01;-0.019;-0.01;-0.01;-0.008;0.054;-0.003;-0.01;-0.009;-0.008;-0.006;-0.008;-0.008;-0.012;-0.01;-0.007;-0.008;-0.016;0.005;-0.012;-0.013;-0.015;-0.01;-0.014;-0.007;-0.015;-0.01;-0.012;0.008;0.004;-0.009;-0.008;-0.007;0.003;-0.012;0.051;-0.0;-0.006;-0.011;-0.008;-0.002;-0.006;-0.014;-0.018;-0.016;-0.015;-0.015;-0.019;-0.02;-0.004;-0.015;-0.011;-0.009;-0.014;-0.018;-0.001;0.019;-0.002;-0.001;-0.001;-0.004;-0.001;0.089
static__article_143.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.004;1.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.017;-0.009;-0.0;-0.0;-0.0;-0.001;-0.001;-0.0;-0.002;-0.002;-0.0;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.001;-0.0;-0.001;-0.001;-0.012;-0.0;-0.001;-0.0;-0.0;-0.0;-0.021;0.007;0.026;-0.0;-0.001;0.007;-0.001;-0.0;-0.001;-0.001;-0.0;-0.0;-0.0;-0.001;-0.001;-0.001;-0.001;-0.001;0.043;-0.002;-0.001;0.001;-0.003;-0.0;0.011;0.006;-0.001;-0.001;0.02;-0.001;-0.001;-0.001;-0.001;0.008;-0.0;0.011;-0.001;-0.001;0.007;-0.001;0.003;0.01;-0.001;-0.001;0.001;-0.002;-0.0;-0.001;-0.003;-0.003;-0.004;-0.005;-0.001;-0.001;-0.004;-0.002;-0.002;-0.001;-0.004;-0.001;-0.002;-0.001;-0.001;-0.002;-0.002;-0.004;-0.003;-0.004;-0.002;-0.002;-0.003;-0.002;-0.002;-0.002;-0.001;-0.001;-0.001;-0.001;0.012;-0.001;0.008;-0.001;-0.001;-0.0;-0.001;0.009;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.007;-0.001;-0.001;-0.002;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.003;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.013;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.009;-0.001;-0.002;-0.002;-0.001;0.003;-0.002;-0.002;-0.0;-0.001;-0.001;-0.001;-0.001;-0.002;-0.0;-0.0;-0.0;-0.0;-0.0;0.0;-0.0;0.006
